,index,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardAnnualDividendRate,ForwardAnnualDividendYield,ForwardPE,FullTimeEmployees,GrossProfitTTM,Industry,LastSplitDate,LastSplitFactor,LatestQuarter,MarketCapitalization,Name,OperatingMarginTTM,PEGRatio,PERatio,PayoutRatio,PercentInsiders,PercentInstitutions,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesFloat,SharesOutstanding,SharesShort,SharesShortPriorMonth,ShortPercentFloat,ShortPercentOutstanding,ShortRatio,Symbol,TrailingPE,ticker
0,0,23.9451,43.5885,53.86,2.62,"930 West 7th Avenue, Denver, CO, United States, 80204",52.71,Common Stock,3.1097,2.319,USA,USD,"GrowGeneration Corp., through its subsidiaries, owns and operates retail hydroponic and organic gardening stores in the United States. It engages in the marketing and distribution of horticultural, organics, and lighting and hydroponics products, including lighting fixtures, nutrients, seeds and growing media, systems, trays, fans, filters, humidifiers and dehumidifiers, timers, instruments, water pumps, irrigation supplies, and hand tools. The company also operates GrowGen.Pro, an online e-commerce store. The company serves commercial and urban cultivators growing specialty crops, including organics, greens, and plant-based medicines. As of January 26, 2021, it operated a chain of 40 stores, which includes 5 locations in Colorado, 13 locations in California, 2 locations in Nevada, 1 location in Arizona, 2 locations in Washington, 6 locations in Michigan, 1 location in Rhode Island, 4 locations in Oklahoma, 2 locations in Oregon, 3 locations in Maine, and 1 location in Florida, as well as an online e-commerce store. The company was formerly known as Easylife Corp. GrowGeneration Corp. was founded in 2008 and is headquartered in Denver, Colorado.",0.076,None,None,0,6890189,0.076,325.6221,14.7748,None,NASDAQ,December,0,0,116.2791,250,22561847,Home Improvement Retail,None,None,2020-09-30,2363792896,GrowGeneration Corp,0.0337,None,568.2895,0,7.61,50.952,21.0555,13.289,0.0214,1.041,1.526,0.0317,0.0407,3.892,156825296,Consumer Cyclical,42707228,54730100,3971531,4437999,0.0931,0.07,1.21,GRWG,568.2895,GRWG
0,0,1.3351,1.5863,2.85,1.01,"35 English Drive, Moncton, NB, Canada, E1E 3X3",None,Common Stock,1.2376,None,USA,USD,"Organigram Holdings Inc., through its subsidiaries, produces and sells cannabis and cannabis-derived products in Canada. It offers cannabis flowers, extracts, edibles and oils, beverages, and other cannabis products for adult recreational market under the Edison Reserve, Edison Cannabis Co., ANKR Organics, and Trailblazer brands; and medical cannabis products, including strains, cannabis oils, extracts, edibles, beverages, and vaporizers for the medical market. The company also engages in the wholesale shipping of cannabis plant cuttings, dried flowers, blends, pre-rolls, and cannabis derivative based products to retailers and wholesalers for adult-use recreational cannabis. It sells its products through online, as well as telephone channels. Organigram Holdings Inc. was founded in 2013 and is headquartered in Moncton, Canada.",0,None,None,0,None,-0.2589,0,5.0083,None,NASDAQ,August,0,0,28.9855,516,-50395000,Drug Manufacturers-Specialty & Generic,2015-01-28,67:1,2020-11-30,423264384,OrganiGram Holdings Inc,0,None,-99999.99,0,0.114,15.295,1.687,5.395,-2.0949,0,-0.231,-0.1697,-0.524,0,0,Healthcare,231767789,232108992,9105335,9254521,0,0.04,0.85,OGI,0,OGI
0,0,23.1508,26.8815,30.81,15.3105,"25501 West Valley Parkway, Olathe, KS, United States, 66061",31.5,Common Stock,0.2805,4.168,USA,USD,"NIC Inc., together with its subsidiaries, provides digital government services that enable governments to use technology to provide various services to businesses and citizens in the United States. Its portals consist websites and applications that enable businesses and citizens to access government information through online channels, such as applying for a permit, retrieving government records, or filing a government-mandated form or report. The company's portal service offerings include motor vehicle driver history record retrieval; vehicle title, lien, and registration; motor vehicle inspections; temporary vehicle tags; driver's license renewal; hunting and fishing licenses; health professional license services; professional license renewal; business registrations and renewals; secretary of state business searches; Uniform Commercial Code (UCC) searches and filings; limited criminal history searches; court services; vital records; income and property tax payments; and payment processing products and services. Its software & services business provides software development, payment processing, and other digital government services to state and local governments, as well as federal agencies. In addition, the company develops and manages the pre-employment screening program for motor carriers using transaction-based business model. Further, it offers application development and portal management services to governments. NIC Inc. was founded in 1991 and is based in Olathe, Kansas.",0.897,2020-12-18,0.36,0.013,81102000,0.897,19.8411,4.3586,2020-12-03,NASDAQ,December,0.36,0.013,29.4985,1000,137079000,Software-Application,None,None,2020-09-30,1804463744,NIC Inc,0.1852,2.36,30.0111,0.48,2.874,92.471,7.1412,4.9062,0.1494,0.762,0.489,0.1143,0.2338,6.066,406371008,Technology,64503590,67030600,999440,1036523,0.0207,0.01,3.01,EGOV,30.0111,EGOV
0,0,21.7776,29.943,41.75,9,"1 Hershey Drive, Smiths Falls, ON, Canada, K7A 0A8",None,Common Stock,2.3261,5.285,USA,USD,"Canopy Growth Corporation, together with its subsidiaries, engages in the production, distribution, and sale of cannabis for recreational and medical purposes primarily in Canada, the United States, Germany, and the United Kingdom. It operates through two segments, Cannabis, Hemp and Other Consumer Products; and Canopy Rivers. The company's products include dried cannabis flowers, oils and concentrates, and softgel capsules. It offers its products under the Tweed, Quatreau, Deep Space, Spectrum Therapeutics, First & Free, TWD, This Works, BioSteel, DNA Genetics CraftGrow, Tokyo Smoke, DOJA, Van der Pop, and Bean & Bud brands. The company also provides growth capital and a strategic support platform that pursues investment opportunities in the global cannabis sector. Canopy Growth Corporation has a clinical research partnership with NEEKA Health Canada and NHL Alumni Association to examine the efficacy of CBD-based therapies as part of the mitigation of persistent post-concussion symptoms. As of February 14, 2020, it operated 28 cannabis retail stores under the Tweed or Tokyo Smoke name. The company was formerly known as Tweed Marijuana Inc. and changed its name to Canopy Growth Corporation in September 2015. Canopy Growth Corporation is headquartered in Smiths Falls, Canada.",-1.794,None,None,0,None,-1.794,0,29.5248,None,NASDAQ,March,0,0,0,4434,105092000,Drug Manufacturers-Specialty & Generic,None,None,2020-09-30,14908884992,Canopy Growth Corporation,0,None,None,0,39.051,12.511,3.9039,38.6188,0,0,0.766,-0.0685,-0.3083,0,0,Healthcare,226817912,373728000,31913993,32382671,0.3515,0.09,5.26,CGC,0,CGC
0,0,3.5167,5.1838,7.82,1.384,"3000 Solandt Road, Kanata, ON, Canada, K2K 2X2",None,Common Stock,2.3455,None,USA,USD,"HEXO Corp., through its subsidiaries, produces, markets, and sells cannabis in Canada. It offers dried cannabis under the Time of Day and H2 lines; Elixir, a cannabis oil sublingual mist product line; and Decarb, an activated fine-milled cannabis powder product. The company offers its adult-use and medical products under the HEXO brand name. Additionally, it offers cannabis beverages under the Little Victory, House of Terpenes, Mollo, Veryvell, and XMG brand; and cannabis products under Original Stash and Up brand names. The company was formerly known as The Hydropothecary Corporation and changes its name to HEXO Corp. in August 2018. HEXO Corp. was founded in 2013 and is headquartered in Kanata, Canada.",0,None,None,0,None,-1.5794,0,7.5757,None,NYSE,July,0,0,0,0,-57975000,Drug Manufacturers-Specialty & Generic,2020-12-23,1:4,2020-10-31,773988800,HEXO Corp,0,None,-99999.99,0,5.21,9.927,1.8008,7.7817,0,0,1.032,-0.0918,-0.7574,0,0,Healthcare,115807821,122163000,8663181,4950206,0,0.07,1.12,HEXO,0,HEXO
0,0,6.2864,9.5194,14.01,1.95,"98 Talbot Street West, Leamington, ON, Canada, N8H 1M8",None,Common Stock,2.637,5.345,USA,USD,"Aphria Inc. cultivates, processes, produces, markets, distributes, and sells medical cannabis in Canada and internationally. The company offers pharmaceutical-grade medical cannabis, adult-use cannabis, and cannabis-derived extracts and derivative cannabis products under the Solei, RIFF, Good Supply, Aphria, P'tite Pof, and Broken Coast brands. It serves patients and consumers through distributors and online. The company is headquartered in Leamington, Canada.",0.299,None,None,0,None,0.299,454.6783,6.8432,None,NASDAQ,May,0,0,1000,1200,190975000,Drug Manufacturers-Specialty & Generic,None,None,2020-11-30,3838356480,Aphria Inc,0,None,40.7358,0,0.014,13.82,2.6137,7.1786,-0.3636,-0.273,0.331,0.0024,-0.1182,0,0,Healthcare,312567697,316745984,21037655,22655465,0,0.07,1.29,APHA,40.7358,APHA
0,0,TRPXY
0,0,6.8641,8.9564,11.75,4,"720 King Street West, Toronto, ON, Canada, M5V 2T3",None,Common Stock,2.0917,4.967,USA,USD,"Cronos Group Inc. operates as a cannabinoid company in the United States and internationally. It manufactures, markets, and distributes hemp-derived supplements and cosmetic products through ecommerce, retail, and hospitality partner channels. The company is also involved in the cultivation, manufacture, and marketing of cannabis and cannabis-derived products for the medical and adult-use markets. Its brand portfolio includes PEACE NATURALS, a global wellness platform; adult-use brands comprise COVE and Spinach; and hemp-derived CBD brands consists of Lord Jones and PEACE+. Cronos Group Inc. is based in Toronto, Canada.",0.287,None,None,0,None,0.287,0,64.1725,None,NASDAQ,December,0,0,0,631,-15964000,Drug Manufacturers-Specialty & Generic,None,None,2020-09-30,3664003584,Cronos Group Inc,-4.948,None,36.0627,0,49.218,14.603,2.0863,104.5738,2.7068,-0.886,0.963,-0.0572,0.0582,0.106,36981000,Healthcare,187614066,356187008,28362370,28728929,0.1516,0.08,5.35,CRON,36.0627,CRON
0,0,21.7776,29.943,41.75,9,"1 Hershey Drive, Smiths Falls, ON, Canada, K7A 0A8",None,Common Stock,2.3261,5.285,USA,USD,"Canopy Growth Corporation, together with its subsidiaries, engages in the production, distribution, and sale of cannabis for recreational and medical purposes primarily in Canada, the United States, Germany, and the United Kingdom. It operates through two segments, Cannabis, Hemp and Other Consumer Products; and Canopy Rivers. The company's products include dried cannabis flowers, oils and concentrates, and softgel capsules. It offers its products under the Tweed, Quatreau, Deep Space, Spectrum Therapeutics, First & Free, TWD, This Works, BioSteel, DNA Genetics CraftGrow, Tokyo Smoke, DOJA, Van der Pop, and Bean & Bud brands. The company also provides growth capital and a strategic support platform that pursues investment opportunities in the global cannabis sector. Canopy Growth Corporation has a clinical research partnership with NEEKA Health Canada and NHL Alumni Association to examine the efficacy of CBD-based therapies as part of the mitigation of persistent post-concussion symptoms. As of February 14, 2020, it operated 28 cannabis retail stores under the Tweed or Tokyo Smoke name. The company was formerly known as Tweed Marijuana Inc. and changed its name to Canopy Growth Corporation in September 2015. Canopy Growth Corporation is headquartered in Smiths Falls, Canada.",-1.794,None,None,0,None,-1.794,0,29.5248,None,NASDAQ,March,0,0,0,4434,105092000,Drug Manufacturers-Specialty & Generic,None,None,2020-09-30,14908884992,Canopy Growth Corporation,0,None,None,0,39.051,12.511,3.9039,38.6188,0,0,0.766,-0.0685,-0.3083,0,0,Healthcare,226817912,373728000,31913993,32382671,0.3515,0.09,5.26,CGC,0,CGC
0,0,VW
0,0,53.9848,62.1367,69.35,27.06,"700 Milam Street, Houston, TX, United States, 77002",74.48,Common Stock,1.5798,1.673,USA,USD,"Cheniere Energy, Inc., an energy infrastructure company, engages in the liquefied natural gas (LNG) related businesses in the United States. It owns and operates Sabine Pass LNG terminal in Cameron Parish, Louisiana; and Corpus Christi LNG terminal near Corpus Christi, Texas. The company also owns Creole Trail pipeline, a 94-mile pipeline interconnecting the Sabine Pass LNG terminal with various interstate pipelines; and operates Corpus Christi pipeline, a 23-mile natural gas supply pipeline that interconnects the Corpus Christi LNG terminal with various interstate and intrastate natural gas pipelines. It is also involved in the LNG and natural gas marketing business. The company was founded in 1983 and is headquartered in Houston, Texas.",4.099,None,None,0,4397000192,4.099,12.3539,4.8587,None,NYSE MKT,December,0,0,19.0476,1530,3061000000,Oil & Gas Midstream,2005-04-25,2:1,2020-09-30,15976512512,"Cheniere Energy, Inc",0.3747,0.7625,15.4501,0,1.252,94.361,29.8758,1.7599,0.1133,1.648,-0.316,0.0613,0.862,36.553,9246999552,Energy,219165573,252274000,4005063,3500081,0.016,0.02,2.3,LNG,15.4501,LNG
